epoch,jaccard_distance,loss,lr,val_jaccard_distance,val_loss
0,0.07249046862125397,0.07249052822589874,1e-04,0.037946395576000214,0.03794638440012932
1,0.02652193047106266,0.026521950960159302,1e-04,0.017110124230384827,0.017110124230384827
2,0.012981562875211239,0.012981570325791836,1e-04,0.009071317501366138,0.009071319364011288
3,0.00708814850077033,0.00708814850077033,1e-04,0.0054551600478589535,0.0054551600478589535
4,0.004313100129365921,0.0043130978010594845,1e-04,0.0034499962348490953,0.0034499955363571644
5,0.0027025709860026836,0.002702571451663971,1e-04,0.002394075272604823,0.0023940757382661104
6,0.0016874192515388131,0.0016874196007847786,1e-04,0.001276943483389914,0.0012769431341439486
7,0.0010387076763436198,0.0010387070942670107,1e-04,0.0008463308331556618,0.0008463312406092882
8,0.0007019332842901349,0.000701933924574405,1e-04,0.0005775924655608833,0.0005775923491455615
9,0.00048281074850820005,0.0004828109231311828,1e-04,0.0003993173595517874,0.00039931738865561783
